source,target,correlation,abs_correlation,relation,interaction,edge_width,edge_sign
Smp_168080.2,Smp_013860.1,0.9745459802824872,0.9745459802824872,positive,positive,0.9745459802824872,positive
Smp_168080.2,Smp_327395.1,-0.9995590795092996,0.9995590795092996,negative,negative,0.9995590795092996,negative
Smp_168080.2,Smp_145290.1,-0.9589465141320102,0.9589465141320102,negative,negative,0.9589465141320102,negative
Smp_168080.2,Smp_343060.1,-0.9986205977200988,0.9986205977200988,negative,negative,0.9986205977200988,negative
Smp_168080.2,Smp_063380.1,0.9710647447456724,0.9710647447456724,positive,positive,0.9710647447456724,positive
Smp_168080.2,Smp_337890.1,0.9955082244700076,0.9955082244700076,positive,positive,0.9955082244700076,positive
Smp_168080.2,Smp_329700.1,0.9645571506558542,0.9645571506558542,positive,positive,0.9645571506558542,positive
Smp_168080.2,Smp_007660.2,0.988893820988198,0.988893820988198,positive,positive,0.988893820988198,positive
Smp_168080.2,Smp_336870.2,0.956844094987952,0.956844094987952,positive,positive,0.956844094987952,positive
Smp_168080.2,Smp_121950.1,0.9911341985503528,0.9911341985503528,positive,positive,0.9911341985503528,positive
Smp_043500.2,Smp_347900.1,-0.984260670954444,0.984260670954444,negative,negative,0.984260670954444,negative
Smp_043500.2,Smp_082410.1,0.9966104337235216,0.9966104337235216,positive,positive,0.9966104337235216,positive
Smp_043500.2,Smp_327460.1,0.9553194274870812,0.9553194274870812,positive,positive,0.9553194274870812,positive
Smp_043500.2,Smp_000790.1,0.9822557547634168,0.9822557547634168,positive,positive,0.9822557547634168,positive
Smp_043500.2,Smp_347560.1,-0.9945938603952934,0.9945938603952934,negative,negative,0.9945938603952934,negative
Smp_043500.2,Smp_130520.4,-0.960758239808628,0.960758239808628,negative,negative,0.960758239808628,negative
Smp_043500.2,Smp_317240.1,-0.975066582694304,0.975066582694304,negative,negative,0.975066582694304,negative
Smp_043500.2,Smp_340300.2,0.9829008992039115,0.9829008992039115,positive,positive,0.9829008992039115,positive
Smp_043500.2,Smp_200460.1,-0.9932725639800796,0.9932725639800796,negative,negative,0.9932725639800796,negative
Smp_043500.2,Smp_169220.1,0.9685738535950884,0.9685738535950884,positive,positive,0.9685738535950884,positive
Smp_043500.2,Smp_328360.1,0.986795491003959,0.986795491003959,positive,positive,0.986795491003959,positive
Smp_043500.2,Smp_150000.1,0.979844357659416,0.979844357659416,positive,positive,0.979844357659416,positive
Smp_043500.2,Smp_336340.1,-0.9532232567726118,0.9532232567726118,negative,negative,0.9532232567726118,negative
Smp_043500.2,Smp_170740.1,-0.9545710050917012,0.9545710050917012,negative,negative,0.9545710050917012,negative
Smp_043500.2,Smp_136860.1,0.98573678888575,0.98573678888575,positive,positive,0.98573678888575,positive
Smp_043500.2,Smp_303270.1,-0.969883866274206,0.969883866274206,negative,negative,0.969883866274206,negative
Smp_043500.2,Smp_205270.1,0.9624756926276457,0.9624756926276457,positive,positive,0.9624756926276457,positive
Smp_043500.2,Smp_180500.2,0.9794546482049566,0.9794546482049566,positive,positive,0.9794546482049566,positive
Smp_043500.2,Smp_129090.1,-0.9796675046006996,0.9796675046006996,negative,negative,0.9796675046006996,negative
Smp_043500.2,Smp_101970.1,0.9747670049988988,0.9747670049988988,positive,positive,0.9747670049988988,positive
Smp_043500.2,Smp_330510.1,-0.9570107418437446,0.9570107418437446,negative,negative,0.9570107418437446,negative
Smp_043500.2,Smp_342900.1,0.986651317530048,0.986651317530048,positive,positive,0.986651317530048,positive
Smp_040710.2,Smp_054620.3,-0.9839393028439736,0.9839393028439736,negative,negative,0.9839393028439736,negative
Smp_040710.2,Smp_020450.1,0.9745283828905492,0.9745283828905492,positive,positive,0.9745283828905492,positive
Smp_040710.2,Smp_154900.1,-0.9662441769559852,0.9662441769559852,negative,negative,0.9662441769559852,negative
Smp_040710.2,Smp_314730.1,0.9804250882053523,0.9804250882053523,positive,positive,0.9804250882053523,positive
Smp_040710.2,Smp_058050.1,0.9976519513772498,0.9976519513772498,positive,positive,0.9976519513772498,positive
Smp_040710.2,Smp_061250.2,0.9709886891350724,0.9709886891350724,positive,positive,0.9709886891350724,positive
Smp_040710.2,Smp_141290.1,0.9801652569002728,0.9801652569002728,positive,positive,0.9801652569002728,positive
Smp_040710.2,Smp_243760.1,0.9518785256637526,0.9518785256637526,positive,positive,0.9518785256637526,positive
Smp_040710.2,Smp_335180.1,-0.9872910242611544,0.9872910242611544,negative,negative,0.9872910242611544,negative
